
Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,same_state,age,python_yn,R_yn,spark,aws,excel
Data Scientist,CA$62K-CA$94K (Glassdoor Est.),3.5,"Loblaw
3.5",Brampton,"Brampton, Canada",10000+ employees,-1,Company - Public,Vehicle Dealers,Retail,$10+ billion (CAD),-1,0,0,62,94,78.0,"Loblaw
",Brampton,0,-1,1,0,1,1,0
Senior Data Scientist,CA$62K-CA$94K (Glassdoor Est.),4.0,"RBC
4.0",Toronto,"Toronto, Canada",10000+ employees,1869,Company - Public,Banks & Building Societies,Finance,$10+ billion (CAD),"Barclays, Morgan Stanley, TD",0,0,62,94,78.0,"RBC
",Toronto,0,151,1,0,1,0,0
Analytics Consultant,CA$62K-CA$94K (Glassdoor Est.),4.6,"Carpedia International
4.6",Oakville,"Oakville, Canada",51 to 200 employees,1994,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,"McKinsey & Company, Celerant Consulting, PVA Consulting Group",0,0,62,94,78.0,"Carpedia International
",Oakville,0,26,0,0,0,0,1
Data Scientist II,CA$62K-CA$94K (Glassdoor Est.),3.9,"TD Bank
3.9",Toronto,"Toronto, Canada",10000+ employees,1855,Company - Public,Banks & Building Societies,Finance,$10+ billion (CAD),"Chase, BB&T, SunTrust",0,0,62,94,78.0,"TD Bank
",Toronto,0,165,0,0,0,0,0
Data Scientist 2,CA$62K-CA$94K (Glassdoor Est.),3.7,"emergiTEL Inc.
3.7",Toronto,"Richmond Hill, Canada",201 to 500 employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (CAD),"Veritaaq, TEKsystems, Procom",0,0,62,94,78.0,"emergiTEL Inc.
",Toronto,0,14,1,0,1,0,0
Data Analyst,CA$62K-CA$94K (Glassdoor Est.),4.3,"Drop
4.3",Toronto,"Toronto, Canada",51 to 200 employees,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,0,0,62,94,78.0,"Drop
",Toronto,0,5,1,0,0,1,0
Senior Data Scientist,CA$62K-CA$94K (Glassdoor Est.),4.6,"SurveyMonkey
4.6",Ottawa,"San Mateo, CA",1001 to 5000 employees,1999,Company - Public,Internet,Information Technology,$100 to $500 million (CAD),-1,0,0,62,94,78.0,"SurveyMonkey
",Ottawa,0,21,1,0,0,1,1
Data Scientist - 14444,CA$62K-CA$94K (Glassdoor Est.),2.8,"IT IQ TECH RECRUITERS LTD
2.8",Vancouver,"Vancouver, Canada",1 to 50 employees,2002,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (CAD),"Randstad, TEKsystems, TEEMA Solutions Group",0,0,62,94,78.0,"IT IQ TECH RECRUITERS LTD
",Vancouver,0,18,1,0,0,0,1
Data Analyst,CA$62K-CA$94K (Glassdoor Est.),4.4,"University of Alberta
4.4",Edmonton,"Edmonton, Canada",10000+ employees,-1,College / University,Colleges & Universities,Education,$2 to $5 billion (CAD),-1,0,0,62,94,78.0,"University of Alberta
",Edmonton,0,-1,0,0,0,0,1
Data Scientist & Data Engineer,CA$62K-CA$94K (Glassdoor Est.),-1.0,Decipher Biosciences,Vancouver,-1,-1,-1,-1,-1,-1,-1,-1,0,0,62,94,78.0,Decipher Biosciences,Vancouver,0,-1,1,0,0,0,0
